tp,time.s,gas,v2.mV,v3.mV
4620,967.2520141601562,H2,133.37590788645937,39.678786237618894
4621,967.4609985351562,H2,133.4073023426061,39.594408047774145
4622,967.6699829101562,H2,133.47976296703047,39.8281697871562
4623,967.8790283203125,H2,133.61023387798065,39.90225529514024
4624,968.0880126953125,H2,133.7630850633954,40.335522629289855
4625,968.2969970703125,H2,133.96850940180062,40.47767932038981
4626,968.5059814453125,H2,134.15229572667175,40.253147188968555
4627,968.7150268554688,H2,134.33874356129493,40.225588288023694
4628,968.9240112304688,H2,134.51050684565803,40.360240160106756
4629,969.1329956054688,H2,134.6581524247661,40.31080735966208
4630,969.3419799804688,H2,134.73063023223898,40.252378445599035
4631,969.551025390625,H2,134.73788946792575,40.18025715059448
4632,969.760009765625,H2,134.69675599435826,40.38289988334587
4633,969.968994140625,H2,134.56616842177527,40.21734569714263
4634,970.177978515625,H2,134.37502383076728,40.0093036024769
4635,970.3870239257812,H2,134.14020124653848,39.94136417877448
4636,970.5960083007812,H2,133.85007205874498,39.836400506197855
4637,970.8049926757812,H2,133.55224017207445,39.82199691258026
4638,971.0139770507812,H2,133.24553345099278,39.8281697871562
4639,971.2230224609375,H2,132.90897930082625,39.93313025874856
4640,971.4320068359375,H2,132.5795133857066,39.6643783371472
4641,971.6409912109375,H2,132.29015781047494,39.80142168353251
4642,971.8499755859375,H2,132.00158620005953,40.073141061575
4643,972.0590209960938,H2,131.77549416763935,39.75083728133411
4644,972.2680053710938,H2,131.58516914089168,39.58823506980325
4645,972.4769897460938,H2,131.42865856913022,39.5635445702367
4646,972.6859741210938,H2,131.33960257529375,39.77554492534696
4647,972.89501953125,H2,131.3251725177095,39.99077297319964
4648,973.10400390625,H2,131.3805170744352,39.64379695663778
4649,973.31298828125,H2,131.51533176240915,39.39694278199213
4650,973.52197265625,H2,131.69115880286662,39.193812286181796
4651,973.7310180664062,H2,131.95098424221163,39.35993413328865
4652,973.9400024414062,H2,132.3383653552912,39.51828452249772
4653,974.1489868164062,H2,132.7580813745012,39.81582417917507
4654,974.3579711914062,H2,133.25036117665445,39.705545808223384
4655,974.5670166015625,H2,133.82590660932692,39.803479135857025
4656,974.7760009765625,H2,134.47663066691072,40.11639436791603
4657,974.9849853515625,H2,135.153885445494,40.40144107050947
4658,975.1939697265625,H2,135.81214277271292,40.60341638476472
4659,975.4030151367188,H2,136.4804869862387,40.78933325201639
4660,975.6119995117188,H2,137.15211589782695,40.90685536293659
4661,975.8209838867188,H2,137.7526701722409,40.76047598356469
4662,976.030029296875,H2,138.3242439266237,40.92335378198353
4663,976.239013671875,H2,138.74736874218252,41.389617519673074
4664,976.447998046875,H2,139.08025818651802,41.808353283825596
